time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-05-07T00:00:00.000Z","LatLng(45.464664, 9.18854)","88.6129","/","2018-05-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-05-21T00:00:00.000Z","LatLng(45.464664, 9.18854)","64.32018","/","2018-05-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-04T00:00:00.000Z","LatLng(45.464664, 9.18854)","72.03234","/","2018-06-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-18T00:00:00.000Z","LatLng(45.464664, 9.18854)","78.61097","/","2018-06-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-02T00:00:00.000Z","LatLng(45.464664, 9.18854)","62.63933","/","2018-07-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-16T00:00:00.000Z","LatLng(45.464664, 9.18854)","68.60669","/","2018-07-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-30T00:00:00.000Z","LatLng(45.464664, 9.18854)","67.44817","/","2018-07-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-13T00:00:00.000Z","LatLng(45.464664, 9.18854)","50.359333","/","2018-08-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-27T00:00:00.000Z","LatLng(45.464664, 9.18854)","104.06264","/","2018-08-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-10T00:00:00.000Z","LatLng(45.464664, 9.18854)","123.891975","/","2018-09-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-24T00:00:00.000Z","LatLng(45.464664, 9.18854)","185.8172","/","2018-09-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-08T00:00:00.000Z","LatLng(45.464664, 9.18854)","176.93338","/","2018-10-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-22T00:00:00.000Z","LatLng(45.464664, 9.18854)","149.92163","/","2018-10-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-05T00:00:00.000Z","LatLng(45.464664, 9.18854)","129.6979","/","2018-11-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-19T00:00:00.000Z","LatLng(45.464664, 9.18854)","291.82202","/","2018-11-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-03T00:00:00.000Z","LatLng(45.464664, 9.18854)","222.88336","/","2018-12-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-17T00:00:00.000Z","LatLng(45.464664, 9.18854)","192.6759","/","2018-12-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-31T00:00:00.000Z","LatLng(45.464664, 9.18854)","186.93732","/","2018-12-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-14T00:00:00.000Z","LatLng(45.464664, 9.18854)","237.9773","/","2019-01-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-28T00:00:00.000Z","LatLng(45.464664, 9.18854)","306.5665","/","2019-01-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-11T00:00:00.000Z","LatLng(45.464664, 9.18854)","238.28038","/","2019-02-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-25T00:00:00.000Z","LatLng(45.464664, 9.18854)","218.852","/","2019-02-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-03-11T00:00:00.000Z","LatLng(45.464664, 9.18854)","166.42694","/","2019-03-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-03-25T00:00:00.000Z","LatLng(45.464664, 9.18854)","152.33087","/","2019-03-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-04-08T00:00:00.000Z","LatLng(45.464664, 9.18854)","115.21165","/","2019-04-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-04-22T00:00:00.000Z","LatLng(45.464664, 9.18854)","68.90456","/","2019-04-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-05-06T00:00:00.000Z","LatLng(45.464664, 9.18854)","120.02855","/","2019-05-06T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-05-20T00:00:00.000Z","LatLng(45.464664, 9.18854)","77.88949","/","2019-05-20T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-06-03T00:00:00.000Z","LatLng(45.464664, 9.18854)","67.16735","/","2019-06-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-06-17T00:00:00.000Z","LatLng(45.464664, 9.18854)","71.141365","/","2019-06-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-01T00:00:00.000Z","LatLng(45.464664, 9.18854)","62.362","/","2019-07-01T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-15T00:00:00.000Z","LatLng(45.464664, 9.18854)","65.62982","/","2019-07-15T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-29T00:00:00.000Z","LatLng(45.464664, 9.18854)","57.24222","/","2019-07-29T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-08-12T00:00:00.000Z","LatLng(45.464664, 9.18854)","44.51316","/","2019-08-12T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-08-26T00:00:00.000Z","LatLng(45.464664, 9.18854)","69.27646","/","2019-08-26T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-09T00:00:00.000Z","LatLng(45.464664, 9.18854)","105.8787","/","2019-09-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-23T00:00:00.000Z","LatLng(45.464664, 9.18854)","111.94634","/","2019-09-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-07T00:00:00.000Z","LatLng(45.464664, 9.18854)","139.59557","/","2019-10-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
