time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-01-04T17:30:00.000Z","LatLng(41.1017, -72.935)","-35.7302469","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-01-11T17:35:00.000Z","LatLng(41.1017, -72.935)","-24.47268799","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-01-18T17:00:00.000Z","LatLng(41.1017, -72.935)","NaN","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-01-25T17:05:00.000Z","LatLng(41.1017, -72.935)","3.136650563","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-02-01T17:10:00.000Z","LatLng(41.1017, -72.935)","-42.63110704","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-02-08T17:30:00.000Z","LatLng(41.1017, -72.935)","-24.40979967","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-02-15T17:25:00.000Z","LatLng(41.1017, -72.935)","-47.49262556","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-02-22T17:00:00.000Z","LatLng(41.1017, -72.935)","-29.7355185","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-02-28T17:35:00.000Z","LatLng(41.1017, -72.935)","-33.02815796","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-03-07T17:40:00.000Z","LatLng(41.1017, -72.935)","-29.10556593","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-03-14T17:50:00.000Z","LatLng(41.1017, -72.935)","-28.47596654","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-03-21T17:55:00.000Z","LatLng(41.1017, -72.935)","-33.57813079","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-03-28T18:00:00.000Z","LatLng(41.1017, -72.935)","-37.93366887","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-04-04T18:05:00.000Z","LatLng(41.1017, -72.935)","-0.461456001","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-04-11T18:10:00.000Z","LatLng(41.1017, -72.935)","-10.1166883","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-04-18T18:20:00.000Z","LatLng(41.1017, -72.935)","8.552606573","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-04-25T18:25:00.000Z","LatLng(41.1017, -72.935)","8.181053685","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
"2019-05-02T17:05:00.000Z","LatLng(41.1017, -72.935)","NaN","","Invalid DateTime","NASA OBPG","MODIS Aqua","","MODISA L2 LAC OC"
