time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-05-07T00:00:00.000Z","LatLng(40.71268, -74.005812)","155.08643","/","2018-05-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-05-21T00:00:00.000Z","LatLng(40.71268, -74.005812)","110.78","/","2018-05-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-04T00:00:00.000Z","LatLng(40.71268, -74.005812)","95.689964","/","2018-06-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-18T00:00:00.000Z","LatLng(40.71268, -74.005812)","89.16576","/","2018-06-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-02T00:00:00.000Z","LatLng(40.71268, -74.005812)","98.917145","/","2018-07-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-16T00:00:00.000Z","LatLng(40.71268, -74.005812)","92.473625","/","2018-07-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-30T00:00:00.000Z","LatLng(40.71268, -74.005812)","95.939095","/","2018-07-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-13T00:00:00.000Z","LatLng(40.71268, -74.005812)","90.41206","/","2018-08-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-27T00:00:00.000Z","LatLng(40.71268, -74.005812)","95.120415","/","2018-08-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-10T00:00:00.000Z","LatLng(40.71268, -74.005812)","117.58409","/","2018-09-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-24T00:00:00.000Z","LatLng(40.71268, -74.005812)","91.76366","/","2018-09-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-08T00:00:00.000Z","LatLng(40.71268, -74.005812)","74.82764","/","2018-10-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-10-22T00:00:00.000Z","LatLng(40.71268, -74.005812)","112.835045","/","2018-10-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-05T00:00:00.000Z","LatLng(40.71268, -74.005812)","102.5562","/","2018-11-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-11-19T00:00:00.000Z","LatLng(40.71268, -74.005812)","125.92708","/","2018-11-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-03T00:00:00.000Z","LatLng(40.71268, -74.005812)","153.85466","/","2018-12-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-17T00:00:00.000Z","LatLng(40.71268, -74.005812)","140.09277","/","2018-12-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-12-31T00:00:00.000Z","LatLng(40.71268, -74.005812)","110.88155","/","2018-12-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-14T00:00:00.000Z","LatLng(40.71268, -74.005812)","131.37505","/","2019-01-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-01-28T00:00:00.000Z","LatLng(40.71268, -74.005812)","170.0078","/","2019-01-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-11T00:00:00.000Z","LatLng(40.71268, -74.005812)","122.01096","/","2019-02-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-02-25T00:00:00.000Z","LatLng(40.71268, -74.005812)","136.31537","/","2019-02-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-03-11T00:00:00.000Z","LatLng(40.71268, -74.005812)","150.12946","/","2019-03-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-03-25T00:00:00.000Z","LatLng(40.71268, -74.005812)","115.13417","/","2019-03-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-04-08T00:00:00.000Z","LatLng(40.71268, -74.005812)","96.994446","/","2019-04-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-04-22T00:00:00.000Z","LatLng(40.71268, -74.005812)","205.52736","/","2019-04-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-05-06T00:00:00.000Z","LatLng(40.71268, -74.005812)","91.14959","/","2019-05-06T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-05-20T00:00:00.000Z","LatLng(40.71268, -74.005812)","74.9135","/","2019-05-20T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-06-03T00:00:00.000Z","LatLng(40.71268, -74.005812)","70.843765","/","2019-06-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-06-17T00:00:00.000Z","LatLng(40.71268, -74.005812)","90.02533","/","2019-06-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-01T00:00:00.000Z","LatLng(40.71268, -74.005812)","66.31936","/","2019-07-01T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-15T00:00:00.000Z","LatLng(40.71268, -74.005812)","79.614784","/","2019-07-15T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-07-29T00:00:00.000Z","LatLng(40.71268, -74.005812)","69.64364","/","2019-07-29T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-08-12T00:00:00.000Z","LatLng(40.71268, -74.005812)","73.7786","/","2019-08-12T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-08-26T00:00:00.000Z","LatLng(40.71268, -74.005812)","82.13615","/","2019-08-26T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-09T00:00:00.000Z","LatLng(40.71268, -74.005812)","101.84418","/","2019-09-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-23T00:00:00.000Z","LatLng(40.71268, -74.005812)","111.34419","/","2019-09-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-07T00:00:00.000Z","LatLng(40.71268, -74.005812)","126.71045","/","2019-10-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-21T00:00:00.000Z","LatLng(40.71268, -74.005812)","138.81058","/","2019-10-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-04T00:00:00.000Z","LatLng(40.71268, -74.005812)","161.38223","/","2019-11-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-18T00:00:00.000Z","LatLng(40.71268, -74.005812)","173.5952","/","2019-11-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-02T00:00:00.000Z","LatLng(40.71268, -74.005812)","146.64816","/","2019-12-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-16T00:00:00.000Z","LatLng(40.71268, -74.005812)","149.11421","/","2019-12-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-30T00:00:00.000Z","LatLng(40.71268, -74.005812)","90.12517","/","2019-12-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-13T00:00:00.000Z","LatLng(40.71268, -74.005812)","174.16824","/","2020-01-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-27T00:00:00.000Z","LatLng(40.71268, -74.005812)","130.57649","/","2020-01-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-10T00:00:00.000Z","LatLng(40.71268, -74.005812)","129.02332","/","2020-02-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-24T00:00:00.000Z","LatLng(40.71268, -74.005812)","117.4527","/","2020-02-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-09T00:00:00.000Z","LatLng(40.71268, -74.005812)","113.08158","/","2020-03-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-23T00:00:00.000Z","LatLng(40.71268, -74.005812)","80.25808","/","2020-03-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
