time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-05-07T00:00:00.000Z","LatLng(41.902782, 12.496366)","43.233116","/","2018-05-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-05-21T00:00:00.000Z","LatLng(41.902782, 12.496366)","40.791008","/","2018-05-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-04T00:00:00.000Z","LatLng(41.902782, 12.496366)","31.518185","/","2018-06-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-06-18T00:00:00.000Z","LatLng(41.902782, 12.496366)","37.463272","/","2018-06-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-02T00:00:00.000Z","LatLng(41.902782, 12.496366)","34.67839","/","2018-07-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-16T00:00:00.000Z","LatLng(41.902782, 12.496366)","43.26642","/","2018-07-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-07-30T00:00:00.000Z","LatLng(41.902782, 12.496366)","44.93744","/","2018-07-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-13T00:00:00.000Z","LatLng(41.902782, 12.496366)","39.088543","/","2018-08-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-08-27T00:00:00.000Z","LatLng(41.902782, 12.496366)","42.903553","/","2018-08-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-10T00:00:00.000Z","LatLng(41.902782, 12.496366)","44.720753","/","2018-09-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2018-09-24T00:00:00.000Z","LatLng(41.902782, 12.496366)","55.326805","/","2018-09-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
