time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-01-04T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2019-01-04T11:50:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2019-01-05T00:00:00.000Z","LatLng(45.314247, 12.508056)","-47.81","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-11T00:00:00.000Z","LatLng(45.314247, 12.508056)","NaN","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2019-01-11T12:40:00.000Z","LatLng(45.314247, 12.508056)","-8.090164703","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2019-01-12T00:00:00.000Z","LatLng(45.314247, 12.508056)","-16.47","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-01-18T00:00:00.000Z","LatLng(45.314247, 12.508056)","-39.361999999999995","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2019-01-18T12:45:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2019-01-25T00:00:00.000Z","LatLng(45.314247, 12.508056)","48.973","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2019-01-25T12:20:00.000Z","LatLng(45.314247, 12.508056)","-4.434022024","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2019-01-26T00:00:00.000Z","LatLng(45.314247, 12.508056)","-26.53","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2019-02-01T00:00:00.000Z","LatLng(45.314247, 12.508056)","-1.76","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2019-02-01T11:20:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
